Data Bencana,,,,,,,,,,,,,,,
No.,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak,Dampak
1,3301,4/14/2022,PUTING BELIUNG,Kec. Sidareja  Ds. Karanggedang,CILACAP,JAWA TENGAH,,●Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,0,0,0,1,0,0,0
2,1117,4/13/2022,PUTING BELIUNG,Kec. Bukit Ds. Batin Wih Pongas,BENER MERIAH,ACEH,,●Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,0,0,0,11,0,0,1
3,7313,4/13/2022,PUTING BELIUNG,Kec. Tempe Kel. Wiringpalennae Kec. Maniangpajo Ds. Kalola Ds. Sogi Ds. Mattirowalie Kec. Pammana Ds. Kampiri Ds. Lampulung,WAJO,SULAWESI SELATAN,,●Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,0,0,0,15,0,0,1
4,3502,4/13/2022,PUTING BELIUNG,Kec. Babadan  Ds. Purwosari,PONOROGO,JAWA TIMUR,,●Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,0,0,1,1,0,0,0
5,1221,4/13/2022,PUTING BELIUNG,Kec. Barumun  Ds. Bulusonik,PADANG LAWAS,SUMATERA UTARA,,●Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,0,0,0,0,0,0,0
6,3201,4/13/2022,PUTING BELIUNG,Kec. Ciomas Ds.  Ciomas Rahayu,BOGOR,JAWA BARAT,,●Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,0,0,0,0,0,0,0
7,6503,4/12/2022,PUTING BELIUNG,Kec. Tana Lia Ds. Tana Merah Ds. Sambungan Ds. Sambungan Selatan,TANA TIDUNG,KALIMANTAN UTARA,,●Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,0,0,1,8,0,17,0
8,3323,4/11/2022,PUTING BELIUNG,Kec. Temanggung  Kel. Butuh,TEMANGGUNG,JAWA TENGAH,,●Dipicu Hujan dengan intensitas tinggi disertai angin kencang,0,0,0,0,0,1,0
9,3374,4/11/2022,PUTING BELIUNG,Kec. Semarang Tengah Kel. Miroto,KOTA SEMARANG,JAWA TENGAH,,●Dipicu Hujan dengan intensitas tinggi disertai angin kencang,0,0,0,1,0,0,0
10,1674,4/10/2022,PUTING BELIUNG,Kec.Lubuklinggau Selatan II. Kel. Eka marga,KOTA LUBUK LINGGAU,SUMATERA SELATAN,,●Hujan deras disertai angin kencang,0,0,1,20,0,0,1
