ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,
IDN,Java-Bali,274695,Neonatal mortality rate,35,0,ID,Indonesia,1987,ID1987DHS,CM_ECMR_C_NNR,63206010,I,414000,1414000,Region,Java-Bali,14003,Ten years preceding the survey,0,1,CMECMRCNNR,IDDHS1987414000,1987,DHS,,,30,41
IDN,DKI Jakarta,1269563,Neonatal mortality rate,24,0,ID,Indonesia,1987,ID1987DHS,CM_ECMR_C_NNR,63206010,I,414001,1414010,Region,..DKI Jakarta,14003,Ten years preceding the survey,0,1,CMECMRCNNR,IDDHS1987414001,1987,DHS,,,17,32
IDN,West Java,280939,Neonatal mortality rate,49,0,ID,Indonesia,1987,ID1987DHS,CM_ECMR_C_NNR,63206010,I,414002,1414020,Region,..West Java,14003,Ten years preceding the survey,0,1,CMECMRCNNR,IDDHS1987414002,1987,DHS,,,37,61
IDN,Central Java,1253370,Neonatal mortality rate,22,0,ID,Indonesia,1987,ID1987DHS,CM_ECMR_C_NNR,63206010,I,414003,1414030,Region,..Central Java,14003,Ten years preceding the survey,0,1,CMECMRCNNR,IDDHS1987414003,1987,DHS,,,14,31
IDN,DI Yogyakarta,276621,Neonatal mortality rate,24,0,ID,Indonesia,1987,ID1987DHS,CM_ECMR_C_NNR,63206010,I,414004,1414040,Region,..DI Yogyakarta,14003,Ten years preceding the survey,0,1,CMECMRCNNR,IDDHS1987414004,1987,DHS,,,14,33
IDN,East Java,1235440,Neonatal mortality rate,35,0,ID,Indonesia,1987,ID1987DHS,CM_ECMR_C_NNR,63206010,I,414005,1414050,Region,..East Java,14003,Ten years preceding the survey,0,1,CMECMRCNNR,IDDHS1987414005,1987,DHS,,,24,45
IDN,Bali,1237769,Neonatal mortality rate,39,0,ID,Indonesia,1987,ID1987DHS,CM_ECMR_C_NNR,63206010,I,414007,1414070,Region,..Bali,14003,Ten years preceding the survey,0,1,CMECMRCNNR,IDDHS1987414007,1987,DHS,,,22,55
IDN,Outer Java-Bali I,1261535,Neonatal mortality rate,35,0,ID,Indonesia,1987,ID1987DHS,CM_ECMR_C_NNR,63206010,I,414008,1414080,Region,Outer Java-Bali I,14003,Ten years preceding the survey,0,1,CMECMRCNNR,IDDHS1987414008,1987,DHS,,,26,44
IDN,Outer Java-Bali II,276622,Neonatal mortality rate,26,0,ID,Indonesia,1987,ID1987DHS,CM_ECMR_C_NNR,63206010,I,414023,1414230,Region,Outer Java-Bali II,14003,Ten years preceding the survey,0,1,CMECMRCNNR,IDDHS1987414023,1987,DHS,,,17,35
IDN,Java-Bali,1255774,Postneonatal mortality rate,36,0,ID,Indonesia,1987,ID1987DHS,CM_ECMR_C_PNR,63206020,I,414000,1414000,Region,Java-Bali,14003,Ten years preceding the survey,0,1,CMECMRCPNR,IDDHS1987414000,1987,DHS,,,30,41
IDN,DKI Jakarta,3240306,Postneonatal mortality rate,28,0,ID,Indonesia,1987,ID1987DHS,CM_ECMR_C_PNR,63206020,I,414001,1414010,Region,..DKI Jakarta,14003,Ten years preceding the survey,0,1,CMECMRCPNR,IDDHS1987414001,1987,DHS,,,21,35
IDN,West Java,1223329,Postneonatal mortality rate,47,0,ID,Indonesia,1987,ID1987DHS,CM_ECMR_C_PNR,63206020,I,414002,1414020,Region,..West Java,14003,Ten years preceding the survey,0,1,CMECMRCPNR,IDDHS1987414002,1987,DHS,,,36,57
IDN,Central Java,276584,Postneonatal mortality rate,24,0,ID,Indonesia,1987,ID1987DHS,CM_ECMR_C_PNR,63206020,I,414003,1414030,Region,..Central Java,14003,Ten years preceding the survey,0,1,CMECMRCPNR,IDDHS1987414003,1987,DHS,,,16,33
IDN,DI Yogyakarta,1261534,Postneonatal mortality rate,13,0,ID,Indonesia,1987,ID1987DHS,CM_ECMR_C_PNR,63206020,I,414004,1414040,Region,..DI Yogyakarta,14003,Ten years preceding the survey,0,1,CMECMRCPNR,IDDHS1987414004,1987,DHS,,,6,20
IDN,East Java,280903,Postneonatal mortality rate,39,0,ID,Indonesia,1987,ID1987DHS,CM_ECMR_C_PNR,63206020,I,414005,1414050,Region,..East Java,14003,Ten years preceding the survey,0,1,CMECMRCPNR,IDDHS1987414005,1987,DHS,,,29,48
IDN,Bali,278972,Postneonatal mortality rate,26,0,ID,Indonesia,1987,ID1987DHS,CM_ECMR_C_PNR,63206020,I,414007,1414070,Region,..Bali,14003,Ten years preceding the survey,0,1,CMECMRCPNR,IDDHS1987414007,1987,DHS,,,15,38
IDN,Outer Java-Bali I,280907,Postneonatal mortality rate,46,0,ID,Indonesia,1987,ID1987DHS,CM_ECMR_C_PNR,63206020,I,414008,1414080,Region,Outer Java-Bali I,14003,Ten years preceding the survey,0,1,CMECMRCPNR,IDDHS1987414008,1987,DHS,,,35,57
