Sentiment,Text
pos,"Naik GrabCar ke rumah Anya
Di hari Jumat bareng Diana

Semoga suka yaa kiriman kecilnya
Salam persahabatan untuk Kak @InNath dan teman-teman Gojek di sana! ?? https://t.co/JTuqdOAVVQ"
neg,"Overthinkingku tadi malam: Bayangin kalau di tahun 2020-2021 ini, pandemi tetap ada tapi nggak ada gojek dan gofood dan goshop dan gopay dan layanan go-go yang lain ??"
neg,"W kerja di gedung B. Order gofood di gedung B cuman beda 2 lantai. Napa gojeknya datang dari tempat yg jaraknya 15 menit dari sini. Perasaan depan gedung banyak gojek mangkal ??

Order gojek soalnya harga jadi lebih murah pake promo gofood ??"
neg,"gojek w gaguna gada promo, grab juga promo seabrek gabisa dipake ??"
pos,"@noviantod @bussinesacc__ @_dyhiyah @lordsalty57_ @hantsaplast @Tresno_Arto @aftertandakoma @ShopeeID @sicepat_ekspres Oh tempo hari aku pake Gosend Instan, kalo baca dr webnya harga di bawah 10juta masih bolehh. https://t.co/gDNMCPS9Zr https://t.co/NLMCKmPvOZ"
neg,"@gojekindonesia min mau tanya, di area tempat kerja saya daerah jayanti tangerang kenapa tidak bisa order apapun ya, dari mulai gofood, gocar, dan gojek. Ada masalah apa ya? https://t.co/AqZXnWjwOE"
pos,"Mau sungkem sama tim contentnya Gojek??

Bismillah bisa join✨??"
neg,need otp gojek + setpin yang kartu fisik #zonauang #zonabu #zonaba
pos,"@istrihaknyeon Tungguin depan gerbang ya, otw jg naik gojek"
pos,@justmygs_ klo di Gojek mah gopud aja.... https://t.co/qNnqQ7BiDt
pos,@joyuIcart WKWKKW PELUK DONG ABANG GOJEK NYA SYP TW GRATIS??
neg,"@bertanyarl waktu bulan puasa kemarin aku smaa temen mesen janjiw lewat gojek pick up,nah pas aku ngambil kesana dijudesin sma mas2nya, ga ramah bgt deh, dari situ gak mau beli janjiw disitu lagi wkwkwkwkw"
neg,"@juwcahaya Hai Kak, mohon maaf sebelumnya. Untuk melakukan pengecekan silakan informasikan nomor telepon dan email yang terdaftar pada Aplikasi Gojek melalui DM. Terima kasih ^yun"
neg,"Kalau bisa setiap korban jambret bertindak seperti bang gojek ini.
Jambretnya mati bukan karena dibunuh tapi karena 'kecelakaan penangkapan tersangka' dan ini juga bisa terjadi ketika pak Polisi mengejar tsk.
Begitu kan pak @DivHumas_Polri  ? https://t.co/DzTEhfjwJo"
pos,"@jimintyoonies Udah beli kan, mau yang ready stock kirim gojek"
pos,Bapak gojek td pagi cute >>>>>>>
pos,@joyuIcart EWKEKKEKKE PAS BGT LEWAT KM ABIS MAKE GOJEK ????
