,Waktu,ID,Username,Text,remove_user,remove_b,remove_http,remove_RT,teks_tokenisasi,Tweet,Label
0,5/9/2021 23:59,"1,39E+18",Nadzri,"b'RT @rokushikiii: Pelik kan. New Zealand tak payah menunggang agama pon berjaya handle pandemik. Ni dah announced darurat, parlimen masih cu\xe2\x80\xa6'","b'RT : Pelik kan. New Zealand tak payah menunggang agama pon berjaya handle pandemik. Ni dah announced darurat, parlimen masih cu\xe2\x80\xa6'","RT : Pelik kan. New Zealand tak payah menunggang agama pon berjaya handle pandemik. Ni dah announced darurat, parlimen masih cu\xe2\x80\xa6'","RT : Pelik kan. New Zealand tak payah menunggang agama pon berjaya handle pandemik. Ni dah announced darurat, parlimen masih cu\xe2\x80\xa6'",Pelik kan. New Zealand tak payah menunggang agama pon berjaya handle pandemik. Ni dah announced darurat parlimen masih cu\xe2\x80\xa6',"['', 'pelik', 'kan', 'new', 'zealand', 'tak', 'payah', 'menunggang', 'agama', 'pon', 'berjaya', 'handle', 'pandemik', 'ni', 'dah', 'announced', 'darurat', 'parlimen', 'masih', 'cu', 'xe2', 'x80', 'xa6', '']",pelik kan new zealand tak payah menunggang agama pon berjaya handle pandemik ni dah announced darurat parlimen masih cu xe2 x80 xa6,positif
1,5/9/2021 23:59,"1,39E+18",azinsah,b'RT @JapenKelantan: Tolong duduk di rumah jika tiada urusan. Virus Covid-19 ada di mana-mana.\n\nIOW\n\n9/5/2021\n\nParlimen : Machang\nDun : Teman\xe2\x80\xa6',b'RT : Tolong duduk di rumah jika tiada urusan. Virus Covid-19 ada di mana-mana.\n\nIOW\n\n9/5/2021\n\nParlimen : Machang\nDun : Teman\xe2\x80\xa6',RT : Tolong duduk di rumah jika tiada urusan. Virus Covid-19 ada di mana-mana.\n\nIOW\n\n9/5/2021\n\nParlimen : Machang\nDun : Teman\xe2\x80\xa6',RT : Tolong duduk di rumah jika tiada urusan. Virus Covid-19 ada di mana-mana.\n\nIOW\n\n9/5/2021\n\nParlimen : Machang\nDun : Teman\xe2\x80\xa6',Tolong duduk di rumah jika tiada urusan. Virus Covid-19 ada di mana-mana.\n\nIOW\n\n9/5/2021\n\nParlimen  Machang\nDun  Teman\xe2\x80\xa6',"['', 'tolong', 'duduk', 'di', 'rumah', 'jika', 'tiada', 'urusan', 'virus', 'covid', '19', 'ada', 'di', 'mana', 'mana', 'n', 'niow', 'n', 'n9', '5', '2021', 'n', 'nparlimen', 'machang', 'ndun', 'teman', 'xe2', 'x80', 'xa6', '']",tolong duduk di rumah jika tiada urusan virus covid 19 ada di mana mana n niow n n9 5 2021 n nparlimen machang ndun teman xe2 x80 xa6,positif
2,5/9/2021 23:59,"1,39E+18",lion,b'@dearsln @dauspozi Maxlan perlukan space lepas cucuk vaksin kot gais? Tapi dia tak block i la sebab i tak suka layan dia',b'  Maxlan perlukan space lepas cucuk vaksin kot gais? Tapi dia tak block i la sebab i tak suka layan dia',Maxlan perlukan space lepas cucuk vaksin kot gais? Tapi dia tak block i la sebab i tak suka layan dia',Maxlan perlukan space lepas cucuk vaksin kot gais? Tapi dia tak block i la sebab i tak suka layan dia',Maxlan perlukan space lepas cucuk vaksin kot gais? Tapi dia tak block i la sebab i tak suka layan dia',"['', 'maxlan', 'perlukan', 'space', 'lepas', 'cucuk', 'vaksin', 'kot', 'gais', 'tapi', 'dia', 'tak', 'block', 'i', 'la', 'sebab', 'i', 'tak', 'suka', 'layan', 'dia', '']",maxlan perlukan space lepas cucuk vaksin kot gais tapi dia tak block i la sebab i tak suka layan dia,negatif
3,5/9/2021 23:59,"1,39E+18",azinsah,b'RT @JapenKelantan: Tolong duduk di rumah jika tiada urusan. Virus Covid-19 ada di mana-mana.\n\nIOW\n\n9/5/2021\n\nParlimen : Pasir Puteh\nDun : S\xe2\x80\xa6',b'RT : Tolong duduk di rumah jika tiada urusan. Virus Covid-19 ada di mana-mana.\n\nIOW\n\n9/5/2021\n\nParlimen : Pasir Puteh\nDun : S\xe2\x80\xa6',RT : Tolong duduk di rumah jika tiada urusan. Virus Covid-19 ada di mana-mana.\n\nIOW\n\n9/5/2021\n\nParlimen : Pasir Puteh\nDun : S\xe2\x80\xa6',RT : Tolong duduk di rumah jika tiada urusan. Virus Covid-19 ada di mana-mana.\n\nIOW\n\n9/5/2021\n\nParlimen : Pasir Puteh\nDun : S\xe2\x80\xa6',Tolong duduk di rumah jika tiada urusan. Virus Covid-19 ada di mana-mana.\n\nIOW\n\n9/5/2021\n\nParlimen  Pasir Puteh\nDun  S\xe2\x80\xa6',"['', 'tolong', 'duduk', 'di', 'rumah', 'jika', 'tiada', 'urusan', 'virus', 'covid', '19', 'ada', 'di', 'mana', 'mana', 'n', 'niow', 'n', 'n9', '5', '2021', 'n', 'nparlimen', 'pasir', 'puteh', 'ndun', 's', 'xe2', 'x80', 'xa6', '']",tolong duduk di rumah jika tiada urusan virus covid 19 ada di mana mana n niow n n9 5 2021 n nparlimen pasir puteh ndun s xe2 x80 xa6,positif
4,5/9/2021 23:59,"1,39E+18",azinsah,b'RT @JapenKelantan: Tolong duduk di rumah jika tiada urusan. Virus Covid-19 ada di mana-mana.\n\nIOW\n\n9/5/2021\n\nParlimen : Tanah Merah\nDun : B\xe2\x80\xa6',b'RT : Tolong duduk di rumah jika tiada urusan. Virus Covid-19 ada di mana-mana.\n\nIOW\n\n9/5/2021\n\nParlimen : Tanah Merah\nDun : B\xe2\x80\xa6',RT : Tolong duduk di rumah jika tiada urusan. Virus Covid-19 ada di mana-mana.\n\nIOW\n\n9/5/2021\n\nParlimen : Tanah Merah\nDun : B\xe2\x80\xa6',RT : Tolong duduk di rumah jika tiada urusan. Virus Covid-19 ada di mana-mana.\n\nIOW\n\n9/5/2021\n\nParlimen : Tanah Merah\nDun : B\xe2\x80\xa6',Tolong duduk di rumah jika tiada urusan. Virus Covid-19 ada di mana-mana.\n\nIOW\n\n9/5/2021\n\nParlimen  Tanah Merah\nDun  B\xe2\x80\xa6',"['', 'tolong', 'duduk', 'di', 'rumah', 'jika', 'tiada', 'urusan', 'virus', 'covid', '19', 'ada', 'di', 'mana', 'mana', 'n', 'niow', 'n', 'n9', '5', '2021', 'n', 'nparlimen', 'tanah', 'merah', 'ndun', 'b', 'xe2', 'x80', 'xa6', '']",tolong duduk di rumah jika tiada urusan virus covid 19 ada di mana mana n niow n n9 5 2021 n nparlimen tanah merah ndun b xe2 x80 xa6,positif
5,5/9/2021 23:58,"1,39E+18",azinsah,b'RT @JapenKelantan: Jom kita bantu petugas barisan hadapan dengan patuh SOP !\n\nSepakat@Komuniti Bersama Frontliner (Malaysia Prihatin)\n\n9/5/\xe2\x80\xa6',b'RT : Jom kita bantu petugas barisan hadapan dengan patuh SOP !\n\nSepakat Bersama Frontliner (Malaysia Prihatin)\n\n9/5/\xe2\x80\xa6',RT : Jom kita bantu petugas barisan hadapan dengan patuh SOP !\n\nSepakat Bersama Frontliner (Malaysia Prihatin)\n\n9/5/\xe2\x80\xa6',RT : Jom kita bantu petugas barisan hadapan dengan patuh SOP !\n\nSepakat Bersama Frontliner (Malaysia Prihatin)\n\n9/5/\xe2\x80\xa6',Jom kita bantu petugas barisan hadapan dengan patuh SOP !\n\nSepakat Bersama Frontliner (Malaysia Prihatin)\n\n9/5/\xe2\x80\xa6',"['', 'jom', 'kita', 'bantu', 'petugas', 'barisan', 'hadapan', 'dengan', 'patuh', 'sop', 'n', 'nsepakat', 'bersama', 'frontliner', 'malaysia', 'prihatin', 'n', 'n9', '5', 'xe2', 'x80', 'xa6', '']",jom kita bantu petugas barisan hadapan dengan patuh sop n nsepakat bersama frontliner malaysia prihatin n n9 5 xe2 x80 xa6,positif
6,5/9/2021 23:58,"1,39E+18",azinsah,b'RT @JapenKelantan: Jom kita bantu petugas barisan hadapan dengan patuh SOP !\n\nSepakat@Komuniti Bersama Frontliner (Malaysia Prihatin)\n\n9/5/\xe2\x80\xa6',b'RT : Jom kita bantu petugas barisan hadapan dengan patuh SOP !\n\nSepakat Bersama Frontliner (Malaysia Prihatin)\n\n9/5/\xe2\x80\xa6',RT : Jom kita bantu petugas barisan hadapan dengan patuh SOP !\n\nSepakat Bersama Frontliner (Malaysia Prihatin)\n\n9/5/\xe2\x80\xa6',RT : Jom kita bantu petugas barisan hadapan dengan patuh SOP !\n\nSepakat Bersama Frontliner (Malaysia Prihatin)\n\n9/5/\xe2\x80\xa6',Jom kita bantu petugas barisan hadapan dengan patuh SOP !\n\nSepakat Bersama Frontliner (Malaysia Prihatin)\n\n9/5/\xe2\x80\xa6',"['', 'jom', 'kita', 'bantu', 'petugas', 'barisan', 'hadapan', 'dengan', 'patuh', 'sop', 'n', 'nsepakat', 'bersama', 'frontliner', 'malaysia', 'prihatin', 'n', 'n9', '5', 'xe2', 'x80', 'xa6', '']",jom kita bantu petugas barisan hadapan dengan patuh sop n nsepakat bersama frontliner malaysia prihatin n n9 5 xe2 x80 xa6,positif
7,5/9/2021 23:58,"1,39E+18",norma ja'afarðŸ‡²ðŸ‡¾,b'RT @JapenSarawak: @JPenerangan RT @JPenerangan: Terdapat beberapa kandungan dalam vaksin COVID-19 yang anda perlu tahu.\n\n#KitaAkanMenang\n#K\xe2\x80\xa6',b'RT :  RT : Terdapat beberapa kandungan dalam vaksin COVID-19 yang anda perlu tahu.\n\n#KitaAkanMenang\n#K\xe2\x80\xa6',RT :  RT : Terdapat beberapa kandungan dalam vaksin COVID-19 yang anda perlu tahu.\n\n#KitaAkanMenang\n#K\xe2\x80\xa6',RT :  RT : Terdapat beberapa kandungan dalam vaksin COVID-19 yang anda perlu tahu.\n\n#KitaAkanMenang\n#K\xe2\x80\xa6',Terdapat beberapa kandungan dalam vaksin COVID-19 yang anda perlu tahu.\n\nKitaAkanMenang\nK\xe2\x80\xa6',"['', 'terdapat', 'beberapa', 'kandungan', 'dalam', 'vaksin', 'covid', '19', 'yang', 'anda', 'perlu', 'tahu', 'n', 'nkitaakanmenang', 'nk', 'xe2', 'x80', 'xa6', '']",terdapat beberapa kandungan dalam vaksin covid 19 yang anda perlu tahu n nkitaakanmenang nk xe2 x80 xa6,positif
8,5/9/2021 23:58,"1,39E+18",azinsah,b'RT @JapenKelantan: Jom kita bantu petugas barisan hadapan dengan patuh SOP !\n\nSepakat@Komuniti Bersama Frontliner (Malaysia Prihatin)\n\n9/5/\xe2\x80\xa6',b'RT : Jom kita bantu petugas barisan hadapan dengan patuh SOP !\n\nSepakat Bersama Frontliner (Malaysia Prihatin)\n\n9/5/\xe2\x80\xa6',RT : Jom kita bantu petugas barisan hadapan dengan patuh SOP !\n\nSepakat Bersama Frontliner (Malaysia Prihatin)\n\n9/5/\xe2\x80\xa6',RT : Jom kita bantu petugas barisan hadapan dengan patuh SOP !\n\nSepakat Bersama Frontliner (Malaysia Prihatin)\n\n9/5/\xe2\x80\xa6',Jom kita bantu petugas barisan hadapan dengan patuh SOP !\n\nSepakat Bersama Frontliner (Malaysia Prihatin)\n\n9/5/\xe2\x80\xa6',"['', 'jom', 'kita', 'bantu', 'petugas', 'barisan', 'hadapan', 'dengan', 'patuh', 'sop', 'n', 'nsepakat', 'bersama', 'frontliner', 'malaysia', 'prihatin', 'n', 'n9', '5', 'xe2', 'x80', 'xa6', '']",jom kita bantu petugas barisan hadapan dengan patuh sop n nsepakat bersama frontliner malaysia prihatin n n9 5 xe2 x80 xa6,positif
9,5/9/2021 23:58,"1,39E+18",Hiishamariffin,"b'RT @aimanzom: Gov: untuk mendaftar vaksin, sila klik\nKlatey: demo suruh kelik kito kelik'","b'RT : Gov: untuk mendaftar vaksin, sila klik\nKlatey: demo suruh kelik kito kelik'","RT : Gov: untuk mendaftar vaksin, sila klik\nKlatey: demo suruh kelik kito kelik'","RT : Gov: untuk mendaftar vaksin, sila klik\nKlatey: demo suruh kelik kito kelik'",Gov untuk mendaftar vaksin sila klik\nKlatey demo suruh kelik kito kelik',"['', 'gov', 'untuk', 'mendaftar', 'vaksin', 'sila', 'klik', 'nklatey', 'demo', 'suruh', 'kelik', 'kito', 'kelik', '']",gov untuk mendaftar vaksin sila klik nklatey demo suruh kelik kito kelik,negatif
